"filename", "language", "JavaScript", "CSS", "JSON", "XML", "HTML", "comment", "blank", "total"
"e:\Education\travel log\backend\login.js", "JavaScript", 6, 0, 0, 0, 0, 0, 2, 8
"e:\Education\travel log\backend\server.js", "JavaScript", 149, 0, 0, 0, 0, 14, 20, 183
"e:\Education\travel log\backend\tables.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"e:\Education\travel log\travel\public\index.html", "HTML", 0, 0, 0, 0, 20, 23, 1, 44
"e:\Education\travel log\travel\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 1, 26
"e:\Education\travel log\travel\src\App.css", "CSS", 0, 15, 0, 0, 0, 0, 2, 17
"e:\Education\travel log\travel\src\App.js", "JavaScript", 97, 0, 0, 0, 0, 3, 11, 111
"e:\Education\travel log\travel\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"e:\Education\travel log\travel\src\component\Header.css", "CSS", 0, 19, 0, 0, 0, 1, 3, 23
"e:\Education\travel log\travel\src\component\Header.js", "JavaScript", 25, 0, 0, 0, 0, 1, 3, 29
"e:\Education\travel log\travel\src\component\Home.css", "CSS", 0, 41, 0, 0, 0, 17, 5, 63
"e:\Education\travel log\travel\src\component\Home.js", "JavaScript", 18, 0, 0, 0, 0, 1, 3, 22
"e:\Education\travel log\travel\src\component\SignIn.js", "JavaScript", 145, 0, 0, 0, 0, 6, 11, 162
"e:\Education\travel log\travel\src\component\SignUp.js", "JavaScript", 129, 0, 0, 0, 0, 3, 13, 145
"e:\Education\travel log\travel\src\component\View.css", "CSS", 0, 13, 0, 0, 0, 1, 0, 14
"e:\Education\travel log\travel\src\component\View.js", "JavaScript", 77, 0, 0, 0, 0, 18, 12, 107
"e:\Education\travel log\travel\src\component\about me.css", "CSS", 0, 18, 0, 0, 0, 0, 2, 20
"e:\Education\travel log\travel\src\component\about me.js", "JavaScript", 30, 0, 0, 0, 0, 0, 3, 33
"e:\Education\travel log\travel\src\component\add.js", "JavaScript", 121, 0, 0, 0, 0, 46, 19, 186
"e:\Education\travel log\travel\src\component\forgot.js", "JavaScript", 114, 0, 0, 0, 0, 3, 12, 129
"e:\Education\travel log\travel\src\component\remove.js", "JavaScript", 90, 0, 0, 0, 0, 30, 14, 134
"e:\Education\travel log\travel\src\component\sidebar.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 3
"e:\Education\travel log\travel\src\component\sidebar.js", "JavaScript", 56, 0, 0, 0, 0, 8, 4, 68
"e:\Education\travel log\travel\src\component\update.js", "JavaScript", 68, 0, 0, 0, 0, 7, 10, 85
"e:\Education\travel log\travel\src\index.css", "CSS", 0, 12, 0, 0, 0, 0, 2, 14
"e:\Education\travel log\travel\src\index.js", "JavaScript", 11, 0, 0, 0, 0, 3, 4, 18
"e:\Education\travel log\travel\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"e:\Education\travel log\travel\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 2, 14
"e:\Education\travel log\travel\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 1164, 121, 25, 1, 20, 189, 164, 1684
