"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"e:\Education\travel log\travel\src\App.css", "CSS", 0, 0, 0, 1, 1
"e:\Education\travel log\travel\src\App.js", "JavaScript", 4, 0, 12, 4, 20
"e:\Education\travel log\travel\src\component\Home.css", "CSS", 0, 0, -2, -1, -3
"e:\Education\travel log\travel\src\component\Redux\actions\errorActions.js", "JavaScript", 12, 0, 0, 2, 14
"e:\Education\travel log\travel\src\component\Redux\actions\generalActions.js", "JavaScript", 30, 0, 0, 3, 33
"e:\Education\travel log\travel\src\component\Redux\actions\types.js", "JavaScript", 3, 0, 0, 0, 3
"e:\Education\travel log\travel\src\component\Redux\reducer\reducers.js", "JavaScript", 25, 0, 1, 2, 28
"e:\Education\travel log\travel\src\component\SignUp.js", "JavaScript", 13, 0, 0, 1, 14
"e:\Education\travel log\travel\src\component\View.js", "JavaScript", -1, 0, 1, 0, 0
"e:\Education\travel log\travel\src\component\about me.css", "CSS", 0, 7, 0, 0, 7
"e:\Education\travel log\travel\src\component\about me.js", "JavaScript", 11, 0, 0, 2, 13
"e:\Education\travel log\travel\src\component\forgot.js", "JavaScript", 13, 0, 0, 1, 14
"e:\Education\travel log\travel\src\index.js", "JavaScript", 1, 0, 0, -1, 0
"e:\Education\travel log\travel\src\protectedRoutes.js", "JavaScript", 7, 0, 4, 4, 15
"e:\Education\travel log\travel\src\store.js", "JavaScript", 11, 0, 0, 3, 14
"Total", "-", 129, 7, 16, 21, 173
